segment,n,metric,metric_value,overall_metric,gap,is_significant,low_n,p_value,test_used
HouseAge=Q4(37–52) & AveRooms=Q4(6.01–133),129,mae,0.4766999348837222,0.32754256845930246,0.14915736642441974,False,False,,bootstrap_ci
HouseAge=Q3(29–37) & AveRooms=Q4(6.01–133),189,mae,0.42942033015873093,0.32754256845930246,0.10187776169942847,False,False,,bootstrap_ci
HouseAge=Q3(29–37) & AveRooms=Q2(4.4–5.19),295,mae,0.23372120135593222,0.32754256845930246,-0.09382136710337025,False,False,,bootstrap_ci
HouseAge=Q3(29–37) & AveRooms=Q1(0.845–4.4),255,mae,0.23937159725490206,0.32754256845930246,-0.0881709712044004,False,False,,bootstrap_ci
AveRooms=Q4(6.01–133),1032,mae,0.40014233701550433,0.32754256845930246,0.07259976855620187,False,False,,bootstrap_ci
HouseAge=Q1(0.999–18) & AveRooms=Q4(6.01–133),414,mae,0.3923902103864735,0.32754256845930246,0.06484764192717102,False,False,,bootstrap_ci
AveRooms=Q2(4.4–5.19),1032,mae,0.27406477054263567,0.32754256845930246,-0.05347779791666679,False,False,,bootstrap_ci
HouseAge=Q1(0.999–18) & AveRooms=Q3(5.19–6.01),272,mae,0.2778404147058823,0.32754256845930246,-0.049702153753420186,False,False,,bootstrap_ci
HouseAge=Q1(0.999–18) & AveRooms=Q1(0.845–4.4),175,mae,0.37310770057142845,0.32754256845930246,0.04556513211212598,False,False,,bootstrap_ci
HouseAge=Q2(18–29) & AveRooms=Q2(4.4–5.19),230,mae,0.28202219434782616,0.32754256845930246,-0.0455203741114763,False,False,,bootstrap_ci
HouseAge=Q4(37–52) & AveRooms=Q3(5.19–6.01),235,mae,0.37243752085106385,0.32754256845930246,0.04489495239176139,False,False,,bootstrap_ci
HouseAge=Q1(0.999–18) & AveRooms=Q2(4.4–5.19),188,mae,0.2870235223404255,0.32754256845930246,-0.04051904611887697,False,False,,bootstrap_ci
HouseAge=Q3(29–37),1025,mae,0.28789504126829285,0.32754256845930246,-0.03964752719100961,False,False,,bootstrap_ci
HouseAge=Q2(18–29) & AveRooms=Q1(0.845–4.4),280,mae,0.36293774285714286,0.32754256845930246,0.0353951743978404,False,False,,bootstrap_ci
HouseAge=Q3(29–37) & AveRooms=Q3(5.19–6.01),286,mae,0.2935121090909091,0.32754256845930246,-0.034030459368393384,False,False,,bootstrap_ci
HouseAge=Q2(18–29) & AveRooms=Q4(6.01–133),300,mae,0.35947536900000066,0.32754256845930246,0.03193280054069819,False,False,,bootstrap_ci
HouseAge=Q4(37–52) & AveRooms=Q2(4.4–5.19),319,mae,0.29799862664576804,0.32754256845930246,-0.029543941813534425,False,False,,bootstrap_ci
HouseAge=Q4(37–52),1005,mae,0.34622519054726386,0.32754256845930246,0.018682622087961398,False,False,,bootstrap_ci
AveRooms=Q3(5.19–6.01),1032,mae,0.31441876850775197,0.32754256845930246,-0.013123799951550497,False,False,,bootstrap_ci
HouseAge=Q1(0.999–18),1049,mae,0.34058761649189706,0.32754256845930246,0.013045048032594597,False,False,,bootstrap_ci
HouseAge=Q2(18–29),1049,mae,0.33533896959008597,0.32754256845930246,0.0077964011307835035,False,False,,bootstrap_ci
AveRooms=Q1(0.845–4.4),1032,mae,0.3215443977713178,0.32754256845930246,-0.005998170687984639,False,False,,bootstrap_ci
HouseAge=Q4(37–52) & AveRooms=Q1(0.845–4.4),322,mae,0.3226013838509317,0.32754256845930246,-0.0049411846083707855,False,False,,bootstrap_ci
HouseAge=Q2(18–29) & AveRooms=Q3(5.19–6.01),239,mae,0.3240179736401674,0.32754256845930246,-0.003524594819135085,False,False,,bootstrap_ci
